time	V(vout)
Step Information: X=494.1  (Run: 6/6)
4.470025000000000e-003	4.200920e+002
4.470075000000000e-003	4.201789e+002
4.470150000000000e-003	4.202243e+002
4.470250000000000e-003	4.201842e+002
4.477750000000000e-003	4.149027e+002
4.477775000000000e-003	4.148852e+002
4.477825000000000e-003	4.148748e+002
4.477900000000000e-003	4.149208e+002
4.477900024414063e-003	4.149209e+002
4.477900756835938e-003	4.149228e+002
4.477901538085937e-003	4.149248e+002
4.477903100585937e-003	4.149288e+002
4.477906225585937e-003	4.149369e+002
4.477912475585938e-003	4.149532e+002
4.477924975585938e-003	4.149857e+002
4.477949975585938e-003	4.150508e+002
4.477951513671839e-003	4.150548e+002
4.477953076171801e-003	4.150589e+002
4.477956201171727e-003	4.150670e+002
4.477962451171578e-003	4.150833e+002
4.477975097659229e-003	4.151161e+002
4.478000000000000e-003	4.151806e+002
4.480000000000000e-003	4.199536e+002
4.480024877308806e-003	4.200077e+002
4.480074631926421e-003	4.200941e+002
4.480150490764772e-003	4.201402e+002
4.480250000000000e-003	4.201006e+002
4.487750000000000e-003	4.148201e+002
4.487775000000000e-003	4.148026e+002
4.487825000000000e-003	4.147923e+002
4.487900000000000e-003	4.148384e+002
4.487900024414063e-003	4.148385e+002
4.487900756835938e-003	4.148404e+002
4.487901538085938e-003	4.148424e+002
4.487903100585938e-003	4.148464e+002
4.487906225585938e-003	4.148546e+002
4.487912475585938e-003	4.148708e+002
4.487924975585938e-003	4.149034e+002
4.487949975585938e-003	4.149686e+002
4.487951513671894e-003	4.149726e+002
4.487953076171912e-003	4.149767e+002
4.487956201171948e-003	4.149848e+002
4.487962451172022e-003	4.150011e+002
4.487975097654791e-003	4.150339e+002
4.488000000000001e-003	4.150986e+002
4.490000000000000e-003	4.198786e+002
4.490017256197861e-003	4.199162e+002
4.490051768593581e-003	4.199901e+002
4.490120793385024e-003	4.201015e+002
4.490250000000000e-003	4.202143e+002
4.497750000000000e-003	4.149324e+002
4.497759880466290e-003	4.149254e+002
4.497779641398869e-003	4.149116e+002
4.497819163264027e-003	4.149056e+002
